Year,State,All_Items,Goods,Services_Housing,Services_Utilities,Services_Other
2008,AL,-11.10,-4.03,-40.12,-9.09,-2.24
2009,AL,-12.21,-6.01,-39.85,-9.03,-3.31
2010,AL,-10.22,-3.59,-38.50,-7.04,-1.57
2011,AL,-9.99,-4.05,-39.15,-6.90,-0.24
2012,AL,-9.44,-4.79,-37.68,-4.91,0.78
2013,AL,-9.68,-3.78,-38.59,-6.53,-0.05
2014,AL,-9.83,-3.75,-40.09,-5.73,-0.06
2015,AL,-10.26,-4.78,-40.75,-5.32,0.04
2016,AL,-9.39,-3.94,-39.49,-5.25,0.58
2017,AL,-9.94,-4.52,-38.88,-6.30,-1.00
2018,AL,-12.62,-7.52,-40.36,-12.03,-4.07
2019,AL,-11.70,-5.40,-39.72,-13.63,-3.14
2020,AL,-12.43,-5.65,-40.42,-15.18,-3.52
2021,AL,-11.94,-6.07,-39.40,-13.41,-3.85
2022,AL,-11.98,-5.33,-42.50,-12.05,-2.87
2023,AL,-10.90,-5.39,-38.40,-10.09,-1.82
2024,AL,-11.18,-3.60,-38.22,-15.36,-3.29
2008,AK,3.88,5.92,5.96,-10.08,2.85
2009,AK,6.15,5.72,19.67,3.87,3.42
2010,AK,3.10,4.01,13.68,6.10,-0.08
2011,AK,3.27,3.45,9.99,10.70,1.22
2012,AK,2.55,1.50,16.47,13.13,-0.47
2013,AK,2.05,0.14,14.82,18.27,-0.45
2014,AK,2.39,-0.12,16.65,12.92,0.17
2015,AK,3.29,4.38,14.55,16.97,-0.19
2016,AK,4.07,7.41,8.72,23.39,0.71
2017,AK,4.83,7.71,9.38,23.11,1.75
2018,AK,4.56,3.21,4.76,29.71,4.40
2019,AK,3.04,0.53,1.30,31.62,3.89
2020,AK,1.34,1.53,-10.30,27.71,3.82
2021,AK,4.91,9.14,3.37,16.75,2.61
2022,AK,2.10,5.59,-3.42,8.46,1.40
2023,AK,3.30,3.70,-3.26,13.32,4.42
2024,AK,2.36,6.32,-6.22,19.02,2.21
2008,AZ,2.50,2.95,3.32,-3.63,2.29
2009,AZ,2.86,6.40,-0.13,-3.74,2.10
2010,AZ,0.56,0.08,-3.10,4.34,2.12
2011,AZ,-0.92,-1.04,-5.22,4.29,0.53
2012,AZ,-1.95,-1.74,-4.82,0.54,-1.17
2013,AZ,-1.56,-2.40,-6.38,-0.98,0.93
2014,AZ,-2.06,-2.26,-7.26,0.35,-0.13
2015,AZ,-2.14,-1.48,-6.23,1.05,-1.33
2016,AZ,-1.38,-2.17,-7.55,-2.53,1.55
2017,AZ,-2.08,-2.78,-6.47,-1.03,-0.12
2018,AZ,-2.62,-4.14,-5.75,-0.22,-0.61
2019,AZ,-2.22,-4.00,-6.42,-7.43,0.85
2020,AZ,-0.80,0.08,-2.06,-9.95,-0.32
2021,AZ,-3.40,-4.93,2.35,-12.18,-3.59
2022,AZ,-0.01,-1.91,6.24,-12.78,0.10
2023,AZ,0.74,-2.06,8.56,-16.72,1.17
2024,AZ,0.68,-4.64,6.80,-7.68,2.81
2008,AR,-11.90,-4.06,-41.33,-18.78,-2.88
2009,AR,-13.64,-6.23,-42.58,-20.53,-4.16
2010,AR,-11.44,-3.36,-40.17,-21.11,-2.63
2011,AR,-10.62,-4.00,-38.99,-20.91,-1.10
2012,AR,-10.61,-5.54,-39.68,-18.21,0.08
2013,AR,-10.51,-4.62,-40.06,-18.53,-0.23
2014,AR,-10.61,-5.24,-39.76,-18.72,-0.14
2015,AR,-10.99,-6.02,-40.63,-15.55,-0.46
2016,AR,-10.70,-5.07,-40.69,-16.30,-0.46
2017,AR,-11.44,-5.46,-42.36,-16.86,-1.86
2018,AR,-12.86,-6.93,-43.84,-20.74,-2.11
2019,AR,-12.26,-5.23,-43.19,-21.55,-2.75
2020,AR,-11.83,-5.66,-43.13,-18.35,-0.59
2021,AR,-11.10,-4.38,-40.56,-17.41,-2.82
2022,AR,-13.09,-6.87,-44.33,-17.41,-4.05
2023,AR,-13.19,-6.90,-43.26,-18.08,-4.30
2024,AR,-13.06,-6.40,-41.80,-25.27,-4.69
2008,CA,11.22,7.41,61.36,11.41,1.93
2009,CA,10.70,4.69,60.40,12.82,2.00
2010,CA,9.70,3.02,58.03,17.20,1.67
2011,CA,9.50,3.60,57.15,15.30,1.60
2012,CA,9.67,4.09,56.19,17.08,1.94
2013,CA,9.67,4.29,55.71,21.45,1.80
2014,CA,9.93,4.34,57.94,28.28,1.90
2015,CA,10.69,5.54,58.04,29.31,2.75
2016,CA,9.96,4.39,60.08,29.46,1.91
2017,CA,11.00,4.47,62.52,30.67,3.26
2018,CA,11.88,5.51,63.83,25.05,4.27
2019,CA,11.13,6.18,64.64,30.97,2.44
2020,CA,11.94,6.66,66.33,33.50,1.93
2021,CA,11.92,8.14,64.99,44.19,2.11
2022,CA,12.59,8.42,60.12,52.29,3.86
2023,CA,12.19,6.77,57.83,47.28,4.38
2024,CA,10.72,6.10,54.35,58.90,2.59
2008,CO,3.31,4.44,13.86,-21.67,0.90
2009,CO,2.38,2.12,13.15,-21.25,0.49
2010,CO,0.59,1.27,12.15,-16.09,-2.47
2011,CO,3.38,1.61,18.78,-9.00,0.35
2012,CO,3.14,1.35,15.65,-14.31,1.40
2013,CO,3.10,1.02,18.01,-16.51,1.03
2014,CO,3.07,0.17,20.76,-3.18,0.04
2015,CO,3.05,-0.25,23.87,-10.84,-0.19
2016,CO,2.72,-0.22,26.18,-10.67,-1.47
2017,CO,2.95,-0.47,28.89,-13.93,-1.24
2018,CO,0.29,-2.43,28.34,-15.48,-4.70
2019,CO,2.49,1.58,31.04,-11.60,-4.09
2020,CO,3.77,1.99,30.40,-11.53,-2.17
2021,CO,2.77,1.78,29.43,-14.58,-3.25
2022,CO,2.26,1.15,29.53,-10.60,-3.86
2023,CO,1.86,-0.82,30.50,-13.24,-3.54
2024,CO,3.05,-1.27,27.36,-15.03,-0.39
2008,CT,10.45,9.58,31.41,54.52,4.57
2009,CT,10.72,8.67,36.98,57.08,4.09
2010,CT,7.00,3.60,29.00,46.67,2.28
2011,CT,7.83,3.81,29.71,38.34,3.94
2012,CT,7.59,4.59,31.54,35.09,2.69
2013,CT,7.73,4.27,29.56,34.23,3.59
2014,CT,7.02,3.39,27.72,35.62,3.20
2015,CT,7.54,3.17,32.47,39.09,3.32
2016,CT,7.48,3.56,27.43,42.80,4.03
2017,CT,7.23,4.42,21.44,44.61,4.39
2018,CT,4.02,1.43,22.20,40.71,0.15
2019,CT,3.92,-1.27,18.02,43.38,2.25
2020,CT,5.12,-0.99,23.16,59.90,2.44
2021,CT,2.89,-3.01,20.91,46.48,0.84
2022,CT,6.36,1.09,19.76,40.03,4.94
2023,CT,4.20,-1.40,16.63,53.21,2.98
2024,CT,3.61,-2.67,17.05,46.50,2.66
2008,DE,0.75,3.51,-6.26,11.85,0.61
2009,DE,2.08,1.94,4.50,17.74,0.59
2010,DE,1.55,1.52,-0.62,16.40,1.48
2011,DE,0.44,2.51,-1.82,17.19,-1.00
2012,DE,-0.43,-0.56,-1.88,17.26,-0.71
2013,DE,-1.38,-2.89,-1.11,11.72,-1.06
2014,DE,-0.29,-4.35,3.87,5.00,0.98
2015,DE,-2.09,-2.88,-4.83,3.98,-1.03
2016,DE,-1.52,-1.40,-5.60,2.97,-0.53
2017,DE,-1.50,-3.53,-5.35,1.97,0.86
2018,DE,-0.75,-3.19,-0.70,-0.52,0.81
2019,DE,-1.18,-4.28,-3.98,-0.42,1.70
2020,DE,-3.21,-5.50,-8.13,-1.60,0.05
2021,DE,-2.58,-5.47,-3.05,-6.49,-0.14
2022,DE,-1.99,-5.36,-0.91,-4.34,0.12
2023,DE,-1.24,-2.70,-1.07,4.41,-0.60
2024,DE,-0.19,-3.84,2.02,3.81,1.23
2008,DC,12.37,12.19,56.78,26.64,5.30
2009,DC,13.02,12.78,63.29,30.05,5.05
2010,DC,14.23,9.39,82.57,17.20,5.97
2011,DC,14.06,7.78,89.53,14.55,6.00
2012,DC,11.64,5.74,77.23,10.89,4.29
2013,DC,13.52,10.76,74.26,13.94,5.10
2014,DC,14.24,5.51,91.34,9.78,6.88
2015,DC,13.32,5.68,78.36,13.37,6.85
2016,DC,12.42,6.39,84.56,13.09,4.74
2017,DC,10.15,4.53,76.95,11.63,2.86
2018,DC,11.32,7.02,77.23,6.84,3.69
2019,DC,9.23,4.73,70.41,6.07,2.12
2020,DC,10.88,5.52,64.93,6.30,3.73
2021,DC,11.57,7.84,75.50,14.53,2.30
2022,DC,12.59,7.31,76.82,4.53,4.22
2023,DC,10.71,6.55,68.10,8.96,2.87
2024,DC,9.90,6.50,54.98,12.82,2.96
2008,FL,1.67,-1.11,15.06,-1.38,-0.98
2009,FL,0.49,-3.01,11.04,1.20,-1.03
2010,FL,0.39,-2.72,8.67,-3.82,-0.24
2011,FL,0.85,-2.65,8.24,-4.67,0.96
2012,FL,1.07,-1.98,8.82,-6.50,0.91
2013,FL,0.74,-1.39,7.43,-6.37,0.27
2014,FL,0.89,-1.68,8.21,-4.68,0.50
2015,FL,1.29,-2.58,9.26,-7.61,1.80
2016,FL,1.09,-2.46,9.39,-10.09,1.34
2017,FL,0.87,-1.62,10.48,-12.54,0.11
2018,FL,0.32,-2.31,10.72,-8.90,-0.79
2019,FL,-0.36,-3.89,12.02,-5.64,-1.70
2020,FL,0.60,-2.59,13.59,-10.19,-1.19
2021,FL,1.39,-1.64,12.94,-10.04,0.40
2022,FL,2.28,-1.98,16.30,-5.23,1.18
2023,FL,3.64,-1.81,23.17,-6.26,1.51
2024,FL,3.41,-1.94,22.11,-9.93,1.32
2008,GA,-5.75,-5.56,-17.25,-8.99,-0.91
2009,GA,-8.15,-4.11,-16.80,-10.61,-7.45
2010,GA,-5.43,-3.44,-18.53,-6.87,-1.44
2011,GA,-6.33,-3.19,-19.08,-2.20,-4.04
2012,GA,-4.70,-2.77,-19.53,-1.97,-0.41
2013,GA,-5.13,-2.13,-20.62,-2.32,-1.46
2014,GA,-5.04,-2.75,-20.57,-3.22,-0.93
2015,GA,-5.28,-2.99,-19.55,-1.58,-1.96
2016,GA,-5.01,-2.80,-18.77,-1.91,-1.74
2017,GA,-4.72,-2.84,-18.27,-0.57,-1.43
2018,GA,-5.17,-2.24,-18.19,-5.56,-2.60
2019,GA,-5.61,-3.55,-18.15,-3.19,-2.66
2020,GA,-5.52,-3.62,-16.92,-3.16,-2.58
2021,GA,-4.29,-3.38,-14.62,-4.33,-1.18
2022,GA,-4.32,-2.37,-12.36,-2.50,-3.16
2023,GA,-3.51,-2.30,-11.71,-7.67,-1.17
2024,GA,-3.71,-1.07,-11.31,-7.19,-2.66
2008,HI,9.77,6.75,46.81,110.55,-0.76
2009,HI,12.72,8.87,45.89,80.34,3.50
2010,HI,9.56,8.55,43.05,61.44,-0.56
2011,HI,9.94,8.46,42.95,114.60,-0.49
2012,HI,8.39,6.22,37.59,109.69,-0.85
2013,HI,12.32,8.99,53.50,110.00,0.89
2014,HI,10.60,9.05,46.48,95.34,-0.28
2015,HI,11.50,10.68,53.73,76.91,-0.23
2016,HI,9.90,12.28,39.35,68.69,-0.85
2017,HI,10.47,12.61,49.67,69.98,-1.73
2018,HI,10.93,16.58,43.00,95.32,-1.65
2019,HI,11.77,15.26,42.64,103.82,0.16
2020,HI,13.28,12.44,36.43,89.78,4.03
2021,HI,12.56,10.15,40.32,81.98,4.35
2022,HI,11.15,11.96,32.25,96.37,2.77
2023,HI,9.70,10.35,28.69,91.73,2.09
2024,HI,9.95,11.56,25.30,90.18,2.90
2008,ID,-5.05,-0.78,-18.59,-33.60,0.47
2009,ID,-5.16,0.58,-20.98,-27.82,0.13
2010,ID,-6.80,-0.96,-24.18,-23.86,-1.65
2011,ID,-5.89,-0.40,-25.31,-23.39,0.64
2012,ID,-6.52,-1.89,-24.66,-20.16,-0.68
2013,ID,-6.32,-3.66,-21.30,-19.05,-0.25
2014,ID,-6.31,-2.85,-23.06,-17.71,-0.31
2015,ID,-5.72,0.28,-25.80,-16.48,-0.57
2016,ID,-7.00,-0.41,-26.15,-15.53,-2.98
2017,ID,-5.48,1.14,-25.86,-20.27,-0.47
2018,ID,-8.26,-3.81,-22.49,-26.06,-4.38
2019,ID,-7.56,-1.10,-24.32,-25.31,-3.54
2020,ID,-8.98,-4.56,-23.74,-24.80,-4.28
2021,ID,-8.44,-3.38,-15.84,-31.61,-7.96
2022,ID,-8.20,-3.94,-12.34,-33.69,-8.13
2023,ID,-7.76,-4.10,-13.15,-31.95,-6.74
2024,ID,-4.51,-3.69,-9.97,-29.56,-0.98
2008,IL,0.32,-0.62,3.05,-5.80,0.52
2009,IL,1.61,1.68,3.93,-10.07,1.61
2010,IL,1.78,2.15,4.95,-9.25,1.31
2011,IL,1.97,2.63,4.20,-9.93,1.64
2012,IL,0.95,1.08,2.29,-13.04,1.26
2013,IL,0.17,-0.11,3.05,-18.75,0.67
2014,IL,-0.30,0.48,2.82,-11.59,-0.97
2015,IL,-1.10,-1.41,3.29,-10.63,-1.59
2016,IL,-0.50,-1.80,1.39,-10.31,0.22
2017,IL,0.25,0.06,-0.06,-8.59,0.89
2018,IL,0.42,1.54,-0.83,-8.19,0.56
2019,IL,-0.55,2.83,-2.32,-16.07,-1.09
2020,IL,0.31,1.31,-2.36,-15.26,1.42
2021,IL,1.32,3.70,-3.83,-13.93,2.09
2022,IL,1.20,2.74,-5.91,-11.81,3.02
2023,IL,-1.25,1.60,-7.60,-19.55,-0.18
2024,IL,-0.04,3.83,-6.06,-15.05,0.16
2008,IN,-8.06,-7.17,-23.98,-14.24,-1.73
2009,IN,-7.44,-5.31,-24.81,-11.86,-1.68
2010,IN,-6.98,-3.54,-23.44,-17.25,-2.17
2011,IN,-7.62,-3.56,-23.17,-14.47,-4.35
2012,IN,-7.25,-2.55,-25.03,-14.14,-3.53
2013,IN,-7.12,-2.82,-24.22,-13.86,-3.26
2014,IN,-7.36,-1.76,-24.90,-15.55,-4.20
2015,IN,-8.58,-2.38,-26.23,-14.79,-6.00
2016,IN,-8.65,-3.07,-27.39,-16.28,-5.16
2017,IN,-9.12,-4.12,-27.18,-11.77,-5.99
2018,IN,-7.20,-2.10,-26.94,-8.03,-3.37
2019,IN,-7.17,-3.42,-28.13,-11.33,-1.68
2020,IN,-8.24,-5.04,-29.00,-9.89,-1.99
2021,IN,-7.42,-4.31,-28.64,-9.18,-1.70
2022,IN,-8.12,-5.74,-29.33,-13.24,-1.91
2023,IN,-7.90,-4.43,-28.67,-15.28,-2.32
2024,IN,-6.67,-4.49,-26.07,-14.45,-0.86
2008,IA,-12.65,-13.18,-33.41,-15.17,-3.55
2009,IA,-10.25,-8.86,-29.77,-13.80,-3.22
2010,IA,-8.86,-4.63,-29.96,-11.41,-3.69
2011,IA,-10.17,-4.63,-28.71,-15.68,-7.06
2012,IA,-9.21,-3.67,-28.92,-14.93,-5.46
2013,IA,-9.15,-4.15,-28.26,-14.05,-5.33
2014,IA,-9.03,-3.15,-27.92,-16.93,-5.68
2015,IA,-10.47,-3.16,-29.97,-17.76,-8.06
2016,IA,-10.56,-4.16,-29.05,-17.10,-7.78
2017,IA,-10.79,-5.09,-27.22,-12.56,-8.78
2018,IA,-8.20,-4.20,-28.67,-2.80,-3.79
2019,IA,-8.20,-2.78,-30.53,-2.97,-3.68
2020,IA,-9.39,-4.48,-32.85,-2.69,-3.77
2021,IA,-10.23,-5.93,-33.76,-0.88,-4.68
2022,IA,-11.65,-6.69,-32.89,-1.94,-8.03
2023,IA,-11.23,-3.38,-34.02,-12.72,-7.74
2024,IA,-12.24,-6.27,-34.68,-16.73,-7.07
2008,KS,-10.14,-11.31,-26.42,-14.62,-3.32
2009,KS,-8.15,-6.33,-25.34,-12.40,-3.06
2010,KS,-7.01,-4.54,-24.69,-10.19,-2.33
2011,KS,-7.23,-4.18,-22.33,-12.96,-3.76
2012,KS,-6.70,-3.09,-24.44,-13.01,-2.49
2013,KS,-7.39,-3.75,-25.00,-10.50,-3.48
2014,KS,-6.86,-3.04,-25.90,-12.35,-2.47
2015,KS,-7.19,-2.64,-24.94,-9.54,-4.05
2016,KS,-7.94,-3.58,-26.56,-7.28,-4.38
2017,KS,-8.44,-4.18,-26.83,-3.12,-5.20
2018,KS,-7.56,-5.01,-27.74,3.92,-3.00
2019,KS,-7.27,-2.87,-28.14,-0.14,-3.02
2020,KS,-7.75,-4.15,-27.84,1.52,-2.88
2021,KS,-8.73,-6.20,-30.23,0.75,-3.40
2022,KS,-10.39,-6.42,-30.09,2.97,-7.13
2023,KS,-10.09,-3.51,-31.41,-9.18,-7.00
2024,KS,-9.93,-5.97,-28.84,-11.56,-6.18
2008,KY,-10.16,-3.67,-35.76,-26.53,-2.36
2009,KY,-11.46,-6.53,-35.23,-26.28,-3.42
2010,KY,-9.57,-3.40,-33.43,-24.55,-2.62
2011,KY,-9.54,-4.59,-35.36,-21.04,-1.35
2012,KY,-9.31,-6.05,-33.76,-17.56,-0.78
2013,KY,-9.11,-5.00,-33.86,-17.26,-0.86
2014,KY,-8.94,-4.91,-34.48,-14.65,-0.94
2015,KY,-9.27,-5.85,-33.72,-14.19,-1.48
2016,KY,-9.32,-4.65,-35.71,-14.35,-1.60
2017,KY,-10.02,-5.36,-36.32,-14.44,-2.67
2018,KY,-10.93,-6.71,-35.29,-20.82,-3.68
2019,KY,-10.40,-5.14,-35.71,-22.53,-3.09
2020,KY,-10.92,-5.68,-35.17,-23.85,-3.57
2021,KY,-10.75,-6.04,-36.57,-20.34,-3.51
2022,KY,-10.60,-5.94,-37.77,-18.19,-2.95
2023,KY,-10.11,-5.46,-37.10,-19.08,-2.09
2024,KY,-9.84,-4.03,-35.69,-24.69,-2.75
2008,LA,-8.53,-3.56,-32.26,-12.17,-2.33
2009,LA,-9.82,-5.97,-28.96,-26.91,-3.20
2010,LA,-7.80,-3.24,-28.55,-19.91,-1.63
2011,LA,-7.27,-3.80,-27.96,-21.55,-0.29
2012,LA,-7.09,-4.41,-26.89,-24.99,0.50
2013,LA,-7.07,-3.80,-27.85,-20.02,0.14
2014,LA,-6.60,-3.58,-26.86,-19.30,0.13
2015,LA,-7.17,-4.58,-28.49,-20.93,0.45
2016,LA,-6.40,-3.92,-27.09,-21.44,1.10
2017,LA,-7.64,-4.19,-29.01,-22.19,-0.81
2018,LA,-9.25,-6.44,-30.81,-23.47,-1.78
2019,LA,-8.84,-4.91,-29.16,-22.59,-2.85
2020,LA,-8.86,-5.44,-32.00,-23.22,-0.49
2021,LA,-8.63,-4.84,-33.20,-19.27,-1.22
2022,LA,-9.51,-6.05,-33.11,-15.66,-2.65
2023,LA,-11.30,-6.99,-34.89,-23.27,-4.36
2024,LA,-11.79,-6.30,-36.90,-28.54,-4.29
2008,ME,-1.56,0.21,-15.24,37.73,0.91
2009,ME,-1.34,0.66,-13.99,36.77,1.01
2010,ME,-2.49,-1.92,-11.90,26.84,-0.23
2011,ME,-3.89,-1.72,-15.08,25.46,-1.91
2012,ME,-3.05,-1.03,-12.69,21.08,-1.62
2013,ME,-1.67,-1.61,-10.18,17.85,0.85
2014,ME,-7.48,-1.84,-29.55,20.77,-3.34
2015,ME,-4.12,-0.68,-22.95,21.38,-0.01
2016,ME,-2.78,-1.06,-16.22,22.12,0.43
2017,ME,-2.44,0.18,-20.80,24.07,2.19
2018,ME,-2.35,0.94,-16.17,28.73,-0.37
2019,ME,-4.39,-0.60,-28.49,31.90,1.50
2020,ME,-2.11,-0.50,-19.01,33.54,2.81
2021,ME,-2.66,-0.77,-19.07,28.01,1.43
2022,ME,0.75,1.09,-16.51,38.29,6.06
2023,ME,-2.04,-1.67,-19.59,48.20,3.31
2024,ME,-2.95,-2.83,-21.06,35.19,3.19
2008,MD,8.81,4.78,32.41,23.94,4.04
2009,MD,10.41,7.81,34.59,28.54,4.12
2010,MD,8.42,4.03,33.43,14.38,3.88
2011,MD,9.34,4.82,35.46,8.44,4.99
2012,MD,7.42,3.62,33.63,5.91,2.70
2013,MD,8.53,4.63,37.39,7.90,3.03
2014,MD,7.88,2.75,36.30,2.89,3.67
2015,MD,7.91,1.97,31.50,7.20,5.14
2016,MD,7.22,2.40,28.75,14.10,3.86
2017,MD,6.75,1.88,27.74,8.73,3.84
2018,MD,6.31,2.43,28.33,2.97,2.78
2019,MD,5.09,1.17,28.30,3.97,1.13
2020,MD,6.40,2.43,28.12,4.61,2.37
2021,MD,6.10,3.51,24.17,5.07,2.43
2022,MD,4.89,2.88,22.98,2.14,1.10
2023,MD,4.60,3.25,19.86,8.72,0.81
2024,MD,4.96,2.52,21.08,10.86,1.60
2008,MA,6.05,-1.61,26.54,50.04,4.77
2009,MA,5.45,-2.25,30.26,42.58,3.27
2010,MA,4.77,-0.34,29.09,14.17,2.00
2011,MA,4.75,1.39,28.62,20.24,0.90
2012,MA,4.49,1.22,29.31,27.42,0.34
2013,MA,3.30,0.81,29.12,15.45,-1.25
2014,MA,4.53,3.96,29.89,9.98,-0.64
2015,MA,5.09,2.16,30.00,17.74,1.02
2016,MA,8.16,3.74,30.54,33.16,4.94
2017,MA,7.41,3.83,30.60,48.84,3.28
2018,MA,7.42,2.32,28.63,51.66,4.26
2019,MA,7.15,3.58,30.07,50.39,2.89
2020,MA,9.10,5.34,34.74,62.33,3.43
2021,MA,6.70,5.63,29.01,55.84,0.85
2022,MA,9.43,7.09,28.55,51.32,4.88
2023,MA,7.67,0.04,30.14,66.12,5.02
2024,MA,5.76,-1.18,28.07,52.07,2.85
2008,MI,-4.14,-4.67,-12.24,-4.19,-0.70
2009,MI,-3.96,-2.26,-14.95,3.34,-1.32
2010,MI,-3.81,-1.79,-13.21,4.79,-2.19
2011,MI,-4.81,-1.50,-16.14,4.92,-3.52
2012,MI,-5.02,-1.80,-16.75,6.40,-3.55
2013,MI,-4.81,-1.63,-17.30,5.92,-3.01
2014,MI,-4.53,-1.44,-16.66,-0.65,-2.55
2015,MI,-6.29,-2.25,-19.26,-0.57,-4.75
2016,MI,-6.36,-2.29,-17.61,0.02,-5.42
2017,MI,-7.27,-2.67,-19.00,1.17,-6.64
2018,MI,-5.48,-1.54,-19.30,2.37,-3.75
2019,MI,-4.64,-3.86,-18.03,-1.26,-0.78
2020,MI,-5.57,-4.06,-19.33,3.08,-1.87
2021,MI,-5.72,-5.30,-19.32,1.74,-1.63
2022,MI,-6.41,-6.73,-19.16,-2.32,-2.07
2023,MI,-5.70,-4.21,-21.06,-0.29,-1.50
2024,MI,-3.78,-4.01,-17.67,0.15,0.93
2008,MN,-3.21,-3.78,-2.39,-15.24,-2.32
2009,MN,-1.30,-0.26,-4.14,-15.86,-0.16
2010,MN,-2.41,-1.85,-7.05,-16.36,-0.46
2011,MN,-2.76,-0.83,-7.40,-17.16,-1.76
2012,MN,-2.61,-0.43,-5.19,-14.34,-2.61
2013,MN,-2.54,-1.53,-5.15,-14.12,-1.74
2014,MN,-1.69,0.98,-6.95,-12.83,-1.08
2015,MN,-2.32,0.12,-2.75,-13.92,-3.03
2016,MN,-2.81,-1.60,-4.72,-9.83,-2.64
2017,MN,-3.26,0.05,-4.64,-9.39,-4.44
2018,MN,-0.40,0.96,-4.55,-3.58,0.17
2019,MN,-1.24,0.47,-2.53,-7.27,-1.57
2020,MN,-2.23,-0.83,-9.35,-8.08,-0.45
2021,MN,-1.60,0.25,-6.92,-7.94,-0.78
2022,MN,-2.54,-0.13,-2.70,-10.91,-3.56
2023,MN,-1.70,2.06,-9.34,-10.62,-1.09
2024,MN,-1.38,0.52,-8.72,-9.16,0.21
2008,MS,-11.92,-3.98,-40.66,-14.23,-3.42
2009,MS,-14.36,-7.05,-41.88,-18.28,-5.34
2010,MS,-11.69,-3.43,-40.00,-17.96,-3.37
2011,MS,-11.11,-4.62,-39.60,-17.75,-1.53
2012,MS,-11.43,-6.59,-40.16,-15.14,-0.81
2013,MS,-11.10,-5.35,-40.41,-14.65,-0.61
2014,MS,-11.04,-5.84,-40.87,-11.37,-0.44
2015,MS,-11.74,-6.55,-41.41,-9.93,-1.25
2016,MS,-11.51,-5.61,-40.88,-14.21,-1.57
2017,MS,-12.26,-6.18,-40.94,-12.83,-3.30
2018,MS,-13.84,-6.91,-43.32,-18.98,-4.31
2019,MS,-13.47,-5.09,-44.61,-20.59,-3.84
2020,MS,-14.42,-5.36,-44.69,-21.80,-4.81
2021,MS,-13.78,-5.77,-43.85,-19.35,-5.31
2022,MS,-12.66,-5.82,-43.21,-19.65,-2.90
2023,MS,-13.21,-5.56,-45.08,-16.52,-2.33
2024,MS,-13.05,-3.78,-43.54,-21.58,-3.91
2008,MO,-11.57,-12.61,-26.80,-21.63,-4.39
2009,MO,-9.51,-8.47,-27.63,-16.96,-3.09
2010,MO,-6.89,-3.54,-25.52,-12.79,-2.02
2011,MO,-7.50,-4.72,-25.40,-11.33,-2.91
2012,MO,-7.56,-4.17,-26.38,-10.38,-3.17
2013,MO,-7.19,-3.21,-24.95,-12.11,-3.37
2014,MO,-6.65,-2.37,-26.66,-16.93,-1.73
2015,MO,-7.74,-2.62,-26.77,-12.05,-4.25
2016,MO,-8.32,-3.71,-27.68,-14.76,-4.35
